,5oclock shadow.label,5oclock shadow.confidence,age.label,age.confidence,arched eyebrows.label,arched eyebrows.confidence,attractive.label,attractive.confidence,bags under eyes.label,bags under eyes.confidence,bald.label,bald.confidence,bangs.label,bangs.confidence,beard.label,beard.confidence,big lips.label,big lips.confidence,big nose.label,big nose.confidence,black hair.label,black hair.confidence,blond hair.label,blond hair.confidence,blurry.label,blurry.confidence,brown hair.label,brown hair.confidence,bushy eyebrows.label,bushy eyebrows.confidence,chubby.label,chubby.confidence,double chin.label,double chin.confidence,expression.label,expression.confidence,gender.label,gender.confidence,glasses.label,glasses.confidence,goatee.label,goatee.confidence,gray hair.label,gray hair.confidence,heavy makeup.label,heavy makeup.confidence,high cheekbones.label,high cheekbones.confidence,mouth open.label,mouth open.confidence,mustache.label,mustache.confidence,narrow eyes.label,narrow eyes.confidence,oval face.label,oval face.confidence,pale skin.label,pale skin.confidence,pitch.label,pitch.confidence,pointy nose.label,pointy nose.confidence,race.label,race.confidence,receding hairline.label,receding hairline.confidence,rosy cheeks.label,rosy cheeks.confidence,sideburns.label,sideburns.confidence,straight hair.label,straight hair.confidence,wavy hair.label,wavy hair.confidence,wearing earrings.label,wearing earrings.confidence,wearing hat.label,wearing hat.confidence,wearing lipstick.label,wearing lipstick.confidence,wearing necklace.label,wearing necklace.confidence,wearing necktie.label,wearing necktie.confidence,yaw.label,yaw.confidence,young.label,young.confidence
GOT25.jpg,no,0.33,40,0.6,no,1.0,no,0.8,yes,0.13,no,0.81,yes,0.29,no,0.61,no,0.73,yes,0.17,no,0.26,no,1.0,no,0.02,yes,0.05,no,0.24,no,0.15,no,0.36,neutral,0.8,male,0.86,no,1.0,no,0.89,no,0.54,no,1.0,no,0.73,no,0.95,no,0.63,no,0.18,yes,0.15,no,0.3,-9.16,1.0,no,1.0,white,1.0,no,0.99,no,1.0,no,0.88,no,0.19,no,0.12,no,1.0,no,0.02,no,1.0,no,0.84,no,0.26,0.94,1.0,no,0.02
GOT26.jpg,no,0.13,37,0.6,no,1.0,no,0.77,no,0.09,no,0.5,no,1.0,no,0.01,no,0.61,no,0.44,no,1.0,no,0.29,yes,0.45,yes,0.34,no,0.96,no,0.47,no,0.7,neutral,1.0,male,0.66,no,1.0,no,0.26,no,0.29,no,1.0,no,0.82,no,0.72,no,0.34,yes,0.23,no,0.57,no,0.41,-6.49,1.0,no,0.58,white,0.58,yes,0.01,no,1.0,no,0.34,yes,0.05,no,0.42,no,0.86,no,1.0,no,1.0,no,0.98,no,0.34,36.93,1.0,no,0.08
GOT28.jpg,no,1.0,14,0.6,no,0.6,no,0.31,no,1.0,no,0.88,no,1.0,no,1.0,no,0.79,no,1.0,no,0.35,no,0.55,yes,0.39,yes,0.3,no,0.35,no,0.62,no,0.96,neutral,0.28,female,0.66,no,1.0,no,1.0,no,1.0,no,0.76,no,0.62,yes,0.14,no,1.0,no,0.64,yes,0.84,no,0.2,-7.83,1.0,no,0.95,white,1.0,no,0.31,no,1.0,no,1.0,no,0.12,no,0.07,no,0.47,no,0.73,no,0.46,no,0.52,no,1.0,19.22,1.0,yes,0.83
GOT29.jpg,yes,0.35,36,0.6,no,1.0,no,0.89,yes,0.24,no,0.53,no,0.52,yes,0.68,no,1.0,yes,0.16,no,0.57,no,0.84,yes,0.24,yes,0.2,yes,0.07,yes,0.1,no,0.16,neutral,0.92,male,1.0,no,1.0,yes,0.37,no,0.17,no,0.86,no,0.91,no,0.46,yes,0.46,yes,0.1,no,0.12,no,1.0,-8.49,1.0,no,0.58,white,1.0,no,0.77,no,0.84,yes,0.41,no,0.42,yes,0.11,no,1.0,no,0.47,no,0.95,no,1.0,no,0.06,17.39,1.0,no,0.6
GOT3.jpg,no,0.7,38,0.6,no,0.49,no,0.31,no,0.53,yes,0.01,no,1.0,no,0.6,no,0.39,no,0.3,no,0.59,no,0.4,no,0.57,no,0.99,yes,0.19,no,0.37,no,0.6,neutral,0.59,female,0.03,no,1.0,no,0.7,no,0.41,no,0.85,no,0.46,no,1.0,no,0.77,no,1.0,yes,0.82,no,0.21,-8.57,1.0,no,0.53,white,1.0,yes,0.29,no,1.0,no,0.98,no,0.56,no,0.91,no,0.23,yes,0.04,no,0.7,no,0.68,no,0.52,3.12,1.0,yes,0.63
GOT30.jpg,no,0.98,37,0.6,no,0.68,yes,0.06,no,0.68,no,0.61,no,0.97,no,1.0,no,0.11,no,0.66,no,0.68,no,0.35,no,0.64,no,0.16,no,0.93,no,0.97,no,1.0,neutral,1.0,female,0.48,no,1.0,no,1.0,no,0.5,no,0.54,no,1.0,no,0.42,no,1.0,no,0.89,no,0.32,yes,1.0,-7.29,1.0,no,0.02,white,1.0,no,0.05,no,1.0,no,1.0,no,0.15,no,0.34,no,0.28,no,0.51,no,0.16,no,0.55,no,0.65,-39.64,1.0,yes,0.45
GOT4.jpg,no,0.84,45,0.6,yes,0.02,yes,0.89,no,0.45,no,0.87,no,0.73,no,0.73,yes,0.1,no,0.85,no,0.96,no,0.02,no,0.98,yes,0.11,no,0.36,no,1.0,no,1.0,neutral,0.81,female,0.65,no,1.0,no,0.74,no,0.85,yes,0.1,no,0.9,no,1.0,no,0.84,no,0.41,no,0.13,yes,0.83,-6.12,1.0,no,0.12,white,0.98,no,0.41,no,1.0,no,0.8,yes,0.06,no,0.24,no,0.48,no,1.0,yes,0.28,no,0.52,no,0.89,50.06,1.0,yes,1.0
GOT5.jpg,no,1.0,22,0.6,no,0.35,no,0.22,no,0.26,no,0.81,no,1.0,no,1.0,no,0.39,no,0.71,no,0.22,no,0.92,no,0.1,yes,0.24,yes,0.12,no,0.74,no,1.0,neutral,0.94,female,0.84,no,1.0,no,1.0,no,1.0,no,0.61,no,0.61,no,0.66,no,1.0,no,0.11,yes,0.36,no,0.27,-10.53,1.0,no,0.94,white,0.99,no,0.28,no,1.0,no,1.0,yes,0.01,no,0.47,no,0.25,no,0.42,no,0.24,no,0.48,no,1.0,-1.6,1.0,yes,1.0
GOT6.jpg,yes,0.72,46,0.6,no,1.0,no,0.73,yes,0.2,no,0.32,no,0.82,yes,0.9,no,0.76,no,0.05,no,0.87,no,0.65,no,0.24,yes,0.41,no,0.35,no,0.08,no,0.43,neutral,1.0,male,1.0,no,1.0,yes,0.58,no,0.32,no,0.94,no,0.85,no,0.79,yes,0.49,no,0.38,no,0.08,no,0.89,-8.99,1.0,no,0.68,white,1.0,no,0.3,no,0.99,yes,0.61,yes,0.24,no,0.71,no,1.0,no,0.81,no,0.98,no,1.0,yes,0.12,17.58,1.0,no,0.29
GOT7.jpg,yes,0.51,57,0.6,no,1.0,no,0.9,yes,0.0,no,0.89,yes,0.07,yes,0.89,no,0.44,yes,0.11,yes,0.39,no,0.94,no,0.08,no,0.54,yes,0.61,no,0.22,no,0.59,neutral,0.97,male,1.0,no,1.0,yes,0.57,no,0.98,no,1.0,no,0.81,no,0.29,yes,0.6,no,0.41,no,0.08,no,0.79,-6.82,1.0,no,0.74,white,1.0,no,1.0,no,1.0,yes,0.56,no,0.63,yes,0.12,no,0.86,no,0.22,no,1.0,no,0.89,no,0.41,41.87,1.0,yes,0.04
